Names,Male,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Samantha Flores,0,39,11670.73,0,6.45,8,2006-06-24 0:46,"793 Powell Fort Amandaview, GA 95747-4560",Williams PLC,0
John Castillo,0,31,7073.61,0,5.73,9,2010-12-10 11:20,"9831 Amy Square Holmesberg, RI 14826-3752","Richmond, Daniels and Lee",0
Christy Hamilton,1,45,9852.25,1,4.55,8,2009-08-14 22:27,"41390 Vazquez Mall Billystad, VI 57475-0791","Richard, Flores and Walsh",0
Jay Mosley,1,40,6402.3,0,4.28,7,2015-05-05 10:00,"885 Samantha Estates Apt. 694 Michaelland, NC 35223","Martinez, Gonzales and Williams",0
Sonya Lewis,1,48,9282.99,0,4.32,6,2015-09-19 12:58,"191 Timothy Villages Suite 755 New Jamestown, NY 42120-2598","Bowman, White and Shepherd",0
Pamela Bell,1,37,8884.39,0,6.16,7,2016-02-27 17:13,"9249 Bradford Parkways Suite 173 Amandaside, AK 12919-8330",Jacobson PLC,0
Evan Davis,0,46,13296.89,1,4.81,6,2011-09-14 19:09,"63845 Bell Mission Browninghaven, VA 72168",Willis-Bradshaw,0
Jonathan Jones,1,35,7361.92,1,4.97,9,2014-03-11 15:01,USNS Ward FPO AP 80938,French and Sons,0
Richard Rojas,1,54,8092.55,1,4.55,10,2013-04-30 5:34,"01175 Soto Place Lake Brittany, KY 33704-2728",Dominguez-Fischer,0
Jerome Pitts,1,39,9528.99,0,5.97,8,2010-01-02 19:57,"4909 Mcdonald Mews Johnsonmouth, CT 20707",Brock-Lee,0
Yolanda Jackson,1,53,8122.34,0,3.51,9,2009-07-30 7:28,"7248 Wheeler Forks South Wendyport, KY 21877-0885",Smith Group,0
Jessica Wells,1,41,14738.09,1,6.5,8,2008-06-08 1:08,"57837 Tammy Bridge Apt. 904 Lake Lindsey, NM 53078-4180",Sullivan-Ramsey,0
Mark Choi,0,34,11687.29,0,4.54,7,2013-12-09 1:38,"688 Tiffany Fork Wallacemouth, ND 74929-3917",Estrada-Golden,0
Megan Wilson,1,43,7948.18,0,3.88,7,2006-03-29 0:55,"871 Campbell Fall Allenville, NY 42045-5154",Montgomery-Edwards,0
Kathleen Reid,1,42,7915.44,1,6.17,8,2013-07-15 10:20,Unit 7599 Box 9818 DPO AP 02154,Williams PLC,0
Walter Bates,0,40,10180.59,1,6.5,10,2012-08-10 9:19,"58605 Wiley Manor Apt. 796 Atkinstown, TX 41691",Jones LLC,0
Rita Young,0,44,8748.36,1,6.32,10,2015-10-06 18:31,"4331 Quinn Fords Suite 546 Traceyfort, CO 47194-7606","Butler, Riggs and Brown",0
David Sanders,0,41,8021.05,1,3.16,9,2016-10-05 16:14,Unit 6283 Box 6735 DPO AP 09454-8286,Wilson PLC,0
Thomas Richardson,0,44,10445.76,0,7.02,8,2014-10-11 14:08,"8204 Leach Point Suite 900 Port Melissafort, TN 80024",Schmidt-Schroeder,0
Victoria Shaffer,1,34,9919.38,0,4.43,8,2015-08-06 2:01,"2776 Maxwell Falls Lake Brian, MP 68585-6704",Green LLC,0
Dwayne Ryan,0,39,10741.9,0,5.48,8,2013-03-09 0:30,"676 Carlos Port Apt. 925 Anitamouth, VA 05134-0836",Williams and Sons,0
David Moore,0,40,7380.48,1,6.45,7,2007-09-04 21:22,Unit 8071 Box 5003 DPO AE 63421-4620,"Harris, Carter and Brown",0
Matthew Huffman,0,45,9649.26,1,3.77,9,2016-05-09 0:40,"1651 Amber Court Lake Robert, ND 52826","Johnson, Brown and Frazier",0
Mary Kent,1,42,9349.99,1,4.38,7,2011-12-09 19:21,Unit 0590 Box 7532 DPO AE 12062-5301,Houston-Cuevas,0
Molly Young,1,46,12849.1,0,4.97,8,2014-08-03 18:34,"54656 Grant Junctions Suite 070 New Toni, NM 42346","Silva, Wolfe and Ross",0
Eric Castro,0,38,10770.82,0,4.99,10,2016-06-19 1:23,"80338 Scott Trail New Sandraview, WV 30882",Campbell-Willis,0
Tammy Johnson,0,35,8828.59,0,6.77,9,2008-07-23 6:09,"653 Smith Avenue South David, GA 19037","Carr, Mills and Wilson",0
Mallory Powell,0,48,9921.89,0,3.73,9,2013-09-15 19:40,"6312 Stuart Stravenue Port Wesleychester, MN 71667-5670",Carter-Novak,0
Michael Nichols,1,45,6977.56,0,6.94,11,2007-02-24 23:32,"13664 Brandon Trail Robertshire, AK 53957",Rogers-Davis,0
Jason Stevenson,0,44,8580.85,0,5.52,10,2011-07-25 18:58,"605 Stephen Glens Lake Juan, SD 28552","Cruz, Moore and Olsen",0
Andrea Warner,1,46,10469.5,0,6.54,10,2011-03-24 17:01,"753 Hernandez Pines Apt. 505 North Manuelstad, MI 14141-9782",Bailey LLC,0
Susan Casey,0,55,8907.17,1,7.6,11,2016-01-07 23:17,"8392 Jose Islands Apt. 208 Davisbury, MA 60135-6097",Jenkins and Sons,0
Billy Garner,1,46,10050.61,0,4.99,7,2009-11-06 13:24,"68569 Sharon Centers Apt. 331 West Ryanport, FM 66389-2936",Brooks Inc,0
Matthew Dixon,0,38,10522.6,1,5.46,10,2007-12-27 12:11,"498 Oliver Station Suite 474 Lake Traceyberg, NV 37689-1762",Mata LLC,0
Jessica Sharp,0,34,9265.59,0,5.77,8,2013-06-24 6:57,"597 Jones Passage Apt. 958 Fischerbury, AK 60046",Pittman Inc,0
Elizabeth Drake,0,40,10930.16,1,6.63,7,2014-05-28 16:08,"540 Benjamin Villages East Ashley, TN 27044-8930",Francis-Powers,0
Tina Schmidt,1,45,10668.91,0,7.21,8,2011-09-21 5:53,"253 Megan Drive Apt. 447 Berryport, AL 03400-5942",Hall Ltd,0
Elizabeth Kennedy,0,47,11335.97,0,6.84,6,2014-06-26 2:50,"07770 Henry Ways Suite 523 Larsonchester, NE 05818","Davis, Curry and Wallace",0
Brandy Martinez,1,41,12247.91,0,5.08,9,2006-06-30 11:15,USNV Mcgee FPO AA 17726-1322,Smith Ltd,0
Trevor Henderson,0,47,9303.43,0,5.5,8,2010-04-14 20:39,USCGC Bailey FPO AA 06202-5064,Johnson-Rodriguez,0
Brandi Bryan,1,38,9826.29,0,4.93,8,2010-01-09 8:46,"502 Kenneth Trace Apt. 355 Huntshire, HI 51078","Graham, Wilson and Rios",0
Curtis Robinson,1,37,10565.59,0,4.76,10,2006-01-28 1:22,"59027 Andrea Neck Apt. 438 North Makaylaside, OR 67470-1233",Pearson-Gonzales,0
Daniel Barton,0,44,9855.18,0,6.94,7,2011-06-10 20:04,"551 Davis Crescent New Aliciaport, TX 94552-1600",Davidson Group,0
Carolyn Cabrera,1,51,7810.06,0,5.99,9,2012-08-09 19:53,"728 Sanders Centers Suite 047 Codyview, VI 66568",Friedman-Smith,0
Mary Marshall,1,39,11144.51,0,4.25,9,2008-03-07 11:04,"57559 Kelli Stream Apt. 332 Dunlapburgh, CA 43743-8629",Chavez-Patterson,0
Thomas Campbell,1,36,8931.09,1,7.55,7,2006-09-13 4:18,"PSC 9216, Box 6338 APO AP 73140",Williams LLC,0
Christopher Clark,1,50,8929.88,0,5.63,7,2012-04-22 17:32,"69666 Christian Forges Lake Noah, IL 14397",Thompson-Mcdonald,0
Rose White,1,35,9435.2,1,6.23,7,2006-03-29 18:27,"715 Ellis Squares New Kathleenland, NY 05913",Vang-Stewart,0
Derek Martinez,1,40,11553.65,1,4.43,6,2011-08-29 6:35,"3004 Nash Freeway North Craigville, CT 24488",Kramer PLC,0
Wendy Key,0,60,9621.04,1,7.65,8,2013-03-06 7:43,"98190 Gonzalez Drives Apt. 592 Lake Oliviachester, VT 54602-1656","Taylor, Johnson and George",0
Lisa Fisher,0,43,11401.42,0,3.63,10,2014-08-23 17:03,"7234 Amy Forge Suite 123 East Sarah, DC 50257-3728",Davis Inc,0
Kyle Hinton,0,43,10491.4,1,4.23,8,2014-09-14 6:55,"7029 Fowler Pike Heathermouth, OK 59658-7247","Woods, Herrera and Fritz",0
Travis Howell,1,44,10585.86,0,5.54,8,2006-03-23 14:01,"946 Glass Cliffs Suite 105 Ashleemouth, GU 89701-5653",Schroeder-Phillips,0
Vanessa Donaldson,0,52,10697.72,0,8.35,8,2013-05-14 23:24,"08605 Scott Stream Apt. 968 New Andrea, DC 08316-2838",Davis Group,0
Kathy Robertson,1,37,11430.75,0,5.99,10,2015-01-02 20:11,"7260 Boyd Shoal Thomasshire, MI 49243",Graham LLC,0
Katie Nichols,0,48,8465.53,1,4.98,9,2008-09-06 15:15,"PSC 5066, Box 5675 APO AP 96072-8914",Murray Inc,0
Shannon Miller,1,35,7759.15,1,6.06,10,2013-07-18 22:25,"826 Ross Causeway Wardshire, ME 25891",Nelson LLC,0
Stacy Marshall,1,42,13081.64,0,4.66,9,2012-05-12 13:03,"896 Kevin Orchard Apt. 755 West Rogerchester, KY 62941",Daniels LLC,0
Heather Little,0,33,4711.89,0,4.97,7,2009-09-24 1:06,"158 Aaron Station Apt. 788 Millsport, VA 88018",Vaughan Group,0
Jose Rowland,0,36,12252.57,0,5.13,8,2014-02-11 19:43,"186 Macdonald Causeway Woodstown, KY 52059-9294","Ross, Martinez and Dawson",0
Brittany Martinez,1,39,13029.61,1,4.83,8,2015-11-09 2:41,"4019 James Street Apt. 731 North Carmen, OK 01929","Ryan, Mcdonald and Garcia",0
Charles Ellison,1,43,10746.69,0,8.62,9,2011-08-30 12:50,"7082 Paul Divide Suite 132 New Nicolas, WI 35732",Mills Group,0
Dr. Kathleen Wiley,0,45,8665.79,0,5.09,9,2008-08-31 5:40,"1615 Angela Valley Henryfurt, ID 45145-3704",Clark Group,0
Justin Roman PhD,0,34,5447.16,1,4.13,9,2014-01-13 16:11,"489 Daniel Way Suite 895 West Yeseniamouth, ME 71475","Horton, Byrd and Hernandez",0
Daniel Todd,0,37,9772.95,1,3.81,8,2013-06-19 11:25,"7960 Ryan Circles Wilcoxhaven, ME 98912",Vega-Moss,0
Eugene Robertson,1,41,7464.08,0,3.74,8,2008-03-10 0:42,"87999 Knight Pine Apt. 281 Morenoland, ID 20602-9996",Miller-Wagner,0
Frank Chase,1,39,6168.66,1,4.71,8,2006-01-05 11:26,USNS Potts FPO AA 56275,"Harvey, Thompson and Moss",0
Nancy Martin,0,34,12567.53,0,3.36,11,2009-04-02 10:00,"512 Wesley Stream West Scottborough, ND 44332-3438",Diaz-Osborne,0
Duane Mcdonald,1,55,8280.03,0,6.33,5,2013-07-31 3:51,USNV Nielsen FPO AA 31326,Armstrong-Hicks,0
Heather Daniel,0,36,11274.98,0,4.12,10,2015-03-24 15:09,"25793 Phillips Cliff Travisview, WV 48402-6882","Martin, Dickerson and Roberson",0
Michelle Berry,1,42,9635.87,1,2.43,9,2013-12-10 16:06,"091 Mark Drive Suite 656 East Mirandaton, LA 67137-0061",Clark and Sons,0
Claire Rivera,1,48,13743.12,1,4.83,7,2016-05-24 4:02,"35166 Roberta Skyway Coreyfort, MO 59637-8470","Wade, Rowland and Jenkins",0
Benjamin Huff,0,45,8871.53,0,3.76,8,2007-03-06 12:55,"205 Hall Mission Apt. 211 South Matthew, HI 81737-8521","Hurley, Moody and Gomez",0
Bradley Chambers,0,37,8818.03,1,2.89,9,2014-05-04 18:26,"PSC 6159, Box 4526 APO AA 00585",Wilson LLC,0
Terry Kelley,1,37,9788.78,0,5.24,7,2013-02-25 23:36,USCGC Lee FPO AE 62096-3283,Long-Williams,0
Kenneth Fuller,0,34,6131.92,0,4.17,9,2013-02-13 3:34,"12801 Mcdowell Meadows Suite 614 Port Susanshire, OH 89980","Campbell, Williams and Mccarty",0
Stephen Reed,0,40,12043.27,1,5.04,7,2013-02-14 3:05,"486 Washington Fields Josephhaven, VI 31007",Todd LLC,0
Angela Holloway,1,40,12919.92,0,4.23,11,2009-10-29 16:25,"7488 Dana Mountain Suite 133 Lake Desireeport, MD 40139-0534",Ray-Rodriguez,0
David Carter,1,38,10367.14,0,5.92,9,2014-02-11 20:45,"478 Wilson Gateway Apt. 606 New Tanyafort, WA 18702",White Group,0
Nancy Bartlett,1,44,9063.16,1,4.76,8,2012-12-17 4:57,"862 Parks Center Apt. 794 Barrfort, NV 83967-0913",Porter-Dunn,0
Jason Hebert,0,40,10606.97,1,4.11,10,2013-03-19 10:44,"26996 Nicole Ridge Suite 342 Lake Robertside, OK 04293",Hawkins-Escobar,0
Gerald Mullins,0,42,8558.52,0,5.36,7,2009-06-04 17:54,"10282 Megan Island Port Carla, FM 85303-6406",Hamilton PLC,0
James Smith,0,43,11375.25,1,5.09,9,2013-04-29 23:11,"6510 Debra Estates Port Lucasberg, NY 90239-6448","Cooper, Martin and Reid",0
Samantha Munoz,0,48,8514.24,0,4.61,9,2007-09-21 20:21,"68861 Clarke Trail Apt. 668 Bakerchester, OK 24227",Garza Inc,0
Megan Smith,0,39,12019.93,0,4.87,10,2010-09-26 3:46,"733 Sophia Springs Suite 169 East Shawn, MO 90668-3810",Stanley and Sons,0
Gregory Chandler,0,38,9419.66,1,5.24,9,2006-03-26 0:38,"863 Marquez Brooks West Tommychester, MT 16982-2044",Gomez-Petersen,0
Crystal Smith,0,33,10309.71,1,2.96,7,2014-01-28 7:38,"893 Carla Trace Suite 132 Lake Aliciaport, AR 87567","Chan, Patterson and Smith",0
Juan Simmons PhD,0,47,10313.06,0,5.44,8,2010-11-08 2:42,"496 Watts Roads East Alejandro, NC 70921-5585",Martinez PLC,0
Monica Downs,0,34,13460.92,1,3.67,7,2007-05-25 8:54,"53283 Collins Walk Suite 363 South Shawnfort, MS 76289",Green PLC,0
Paul Wilson,0,54,10216.59,0,2.77,7,2008-01-17 16:01,"8764 Wilson Plaza New Sharonview, MT 83968","Williams, Mcintyre and Burns",0
Sandra Hogan,1,37,12766.24,0,3.72,9,2010-06-14 20:59,"12928 Heather Island Apt. 889 East Michelle, KY 96712-4016",Yu-Murillo,0
Anna Wood,1,38,11360.99,0,4.5,7,2008-08-06 5:26,"33021 Cody Falls Apt. 693 Bellfort, NM 76335-9037",Miranda-Sloan,0
Patrick Edwards,1,47,9166.22,0,3.51,9,2015-03-19 5:04,"215 Gardner Islands Apt. 747 East Jonathanmouth, AL 62844-5315",Pierce and Sons,0
Matthew Clayton,1,41,8996.04,1,6.19,9,2011-04-20 6:33,"866 Huffman Ports Suite 795 South Stacyport, KS 32492",Morgan and Sons,0
Mark Marquez,0,55,9743.57,0,5.89,8,2009-07-11 5:41,"631 Christopher Mount South Abigailport, LA 19480",Martin-Cobb,0
Alexis Allen,0,43,7686.13,1,7.17,8,2016-09-27 7:00,"7448 Jason Ridges Heatherfort, GU 92916-6774",Jones and Sons,0
Melissa Coleman,0,29,13255.05,1,4.89,8,2016-02-21 14:20,"9334 Colleen Passage Apt. 344 Michelleberg, MD 31481","Gonzalez, Abbott and Lane",0
Terry Curtis MD,1,48,8403.02,0,3.61,11,2016-03-13 7:22,"080 Jamie Way Cartermouth, MA 05582",Blackburn-Bush,0
Jessica Campbell,1,43,7277.27,1,5.98,8,2014-09-20 3:34,"510 Armstrong Square Davisshire, SC 57672-9166",Bates and Sons,0
Brandon Wilson,0,32,8575.71,0,4.26,9,2006-11-15 14:58,Unit 6545 Box 5723 DPO AP 79461,"Parker, Hoffman and Pugh",0
Meghan Jackson,1,46,9844.79,0,3.57,11,2010-01-03 10:44,"6574 Travis Extensions New Casey, RI 40982",Phillips-Peters,0
Jeffrey Simpson,1,42,7529.23,1,5.86,7,2006-02-15 12:09,"913 Thomas Dale Harristown, OR 05449-4141","Thompson, Vaughan and House",0
Cheryl Hernandez,1,46,4111.4,0,3.93,8,2010-02-18 18:40,"7772 Elizabeth Ridge North Chloe, AL 79941",Beltran Group,0
Amy Riddle,1,45,8389.84,1,6.81,5,2009-08-19 8:06,"4964 Page Estate East Richardmouth, OK 43652",Parker PLC,0
Linda Moore,0,40,7864.63,0,4.56,9,2008-09-11 19:53,"2736 Sharon Spring South Joshuafort, FM 69643",Wilson PLC,0
Carol Bush,0,39,8677.62,0,5.2,7,2007-02-26 18:24,"210 Ray Estates East Debbie, SD 40157-2687",Miller-Morgan,0
Gail Lopez,0,25,9672.03,0,5.49,8,2006-01-02 4:16,Unit 8122 Box 5528 DPO AP 49927,"Chapman, Howard and Campos",0
Joseph Bauer,0,33,11370.28,1,4.4,6,2010-03-08 19:38,"580 Beasley Junctions Apt. 927 Woodston, AZ 17941",Patterson LLC,0
Kayla Foley,1,44,13915.9,0,4.61,9,2008-04-04 4:04,"636 Dana Spurs Apt. 334 West Amytown, NC 29641","Campbell, Velasquez and Porter",0
Teresa Reyes,1,35,10999.05,0,4.76,10,2009-02-08 13:41,"831 Heidi Stream Apt. 991 West Taylorstad, ID 48825-5453","Mendez, Harris and Gordon",0
Shannon Potter,1,39,7636.98,0,5.56,9,2013-02-20 7:41,"741 Nicole Via Apt. 202 Lake Darrellberg, WI 22772","Riddle, Baldwin and Brown",0
Barbara Singleton,1,38,9461.83,0,4.9,10,2012-08-02 14:55,"176 Cheryl Plains Suite 253 Harrisonmouth, PW 17373-8223",Kennedy and Sons,0
Kayla Reeves,0,38,100,0,5.27,5,2006-10-03 9:01,"1511 Porter Drive Amberberg, NC 44608",Stewart-Lopez,0
Tami Smith,1,53,9655.25,0,4.44,10,2006-10-19 1:12,"30920 Bell Passage Suite 036 Annafort, PR 57518-0173",Neal and Sons,0
Brandon Hunter,1,45,15188.65,0,6.17,8,2010-07-07 22:11,"285 Rhonda Harbors Trevinochester, TX 18888-5407",Ramos PLC,0
Lisa Rodriguez,1,49,14124,1,3.02,10,2014-12-17 2:27,"567 Ian Loop Lambertberg, MA 68810-6480","Rocha, Wagner and Chandler",0
Eric Martin,0,44,14155.97,1,6.99,8,2006-05-31 9:24,"162 Paul Freeway Apt. 301 New Jessicaton, SC 29138",Warner-Welch,0
Sharon Hull,0,37,11294.26,0,4.95,10,2007-11-09 16:04,USCGC Collier FPO AE 40469-8677,Bradley-White,0
Allison Clark DDS,0,43,14241.75,0,3.73,12,2006-07-11 11:32,"PSC 9202, Box 1991 APO AA 75619",Robinson-Perez,0
Nicholas Williams,0,43,11334.3,0,3.47,9,2014-01-21 22:14,"600 Rachel Manor Port Mary, SD 03631-0936",Haley Inc,0
Wanda Hess,1,34,7818.13,0,6.11,8,2006-03-02 1:45,"3334 Alvarez Streets Apt. 358 Joyceton, MH 42340-8249",Mccarty-Stevens,0
Fernando Ramsey,0,47,11520.18,1,5.07,9,2014-12-04 9:09,"73285 Norman Ramp Apt. 829 Tommyport, ID 38974-8331",Anderson-Palmer,0
Sylvia Crawford,0,47,7996.78,1,5.45,8,2009-07-23 6:05,"032 Craig Lane Robertstown, AK 35233",Nguyen-Grant,0
Trevor Burns,1,27,8628.8,1,5.3,7,2016-04-11 8:58,"2786 Collins Loaf Susanchester, CT 84620-3615",King LLC,0
Kristen Terry,1,39,10292.19,0,4.99,8,2015-11-12 3:06,"2091 Antonio Tunnel Apt. 841 Gibsonburgh, GU 98706",Rodriguez Group,0
Mr. Joseph Garcia,0,32,11540.86,0,3,7,2008-12-30 8:28,"3028 Robles Road South Megan, CT 13834-0339","Zuniga, Clark and Shaffer",0
Lauren Nelson,0,40,7490.92,0,4.75,5,2013-08-05 20:26,"341 Benjamin Knolls Robertview, ND 28469-9018",Hall Inc,0
Frank Coleman,1,39,4316.73,1,4.79,9,2006-06-16 14:31,"686 Bonnie Locks Suite 704 Hayesburgh, SD 23695-5265",Pollard-Lambert,0
Faith Sanchez,1,41,11738.88,0,7.27,9,2009-06-26 18:06,"390 Johnson Glen Apt. 475 East Dawnbury, ME 42067",Frazier and Sons,0
Catherine Johnston,0,38,15509.97,0,4.65,8,2006-07-06 2:38,"590 Ware Mission East Markhaven, PR 46489","Thomas, Marks and Hurst",0
Anthony Green,1,52,12010.74,0,5.09,8,2010-02-26 16:33,"824 Ryan Orchard Rebeccabury, FL 02869","Miller, Gardner and Harris",0
Justin Brady,1,43,5907.07,0,5.89,8,2011-02-12 1:22,"9462 Samuel Place Lake Jamie, WV 34853",Hunter LLC,0
Hector Anderson,0,39,10510.95,0,2.87,9,2009-06-28 11:42,"321 Perez Village Ericaview, GU 17997",Rodriguez Inc,0
Jessica Hudson,1,43,8914.46,0,6.49,7,2008-04-21 23:26,"7255 Weber Port Davischester, ND 95345-7872","Smith, Marshall and Conway",0
Brittney Nichols,1,38,5353.97,0,6.25,9,2012-01-17 0:39,"85040 Denise Mills West Lynn, TN 21871","Johnson, Mills and Murphy",0
Mary Davis,0,36,12495.15,0,4.86,9,2016-06-08 11:44,"5304 Richards Run Apt. 960 Lake Emilyville, VA 21428","Jordan, Guerrero and Hoffman",0
Paula Rivera,1,45,13118.56,0,4.89,7,2010-05-16 9:00,"2518 Vargas Highway Suite 437 Port Briannaburgh, PA 26077","Rodriguez, Mcguire and Johnson",0
Lisa Munoz,1,39,5846.65,1,6.65,9,2007-03-27 15:23,"504 Knight Lodge Apt. 985 Annastad, NV 86484",Anderson Group,0
Kimberly Carrillo,0,37,7239.49,1,5.01,9,2013-04-18 6:03,"513 Bullock Alley New Diane, NM 39999",Rodriguez PLC,0
Charles Thompson,0,36,14003.88,1,3.54,6,2007-03-25 22:58,"066 Jenkins Walks Barbaramouth, LA 76409",Sawyer and Sons,0
Jasmin Sullivan,1,43,9891.3,0,5.75,11,2015-03-29 18:43,"22500 Paul Port Apt. 531 Nolanmouth, LA 85060-3073",Bailey-Rose,0
Christopher Martin,0,39,9655.42,1,5.5,8,2011-09-01 16:47,"2910 Deborah Haven Apt. 221 Gomezstad, PW 18580-1005","Wise, Nichols and Allen",0
Richard Gonzalez,1,49,7904.67,0,5.58,6,2008-11-05 6:32,"PSC 2039, Box 7808 APO AP 35117",Lee and Sons,0
Christopher Price,0,43,10598.35,1,6.72,8,2006-01-14 22:09,"PSC 8020, Box 7594 APO AE 50638",Porter-Johnson,0
Jeremy Garcia,0,31,10182.6,1,3.77,8,2012-10-19 2:30,"0414 Ellis Creek Apt. 971 Gailberg, WV 99255-4310",King LLC,0
Kevin Hebert,1,41,11316.69,0,6.23,10,2007-04-14 21:21,"281 Phyllis Port West Jessica, VT 75528-7229",Castro-Kline,0
Jessica Morris,1,43,6065.64,1,4.86,7,2011-01-26 13:35,"69465 Murphy Harbor Bishopchester, MP 09567",Hernandez Ltd,0
Wendy Wells,0,41,8907.76,0,6.99,7,2016-09-09 3:56,"81421 Joseph Canyon Apt. 100 Josephton, MT 11927-8464","Sanchez, Ferguson and Ramos",0
Amanda Barnett,0,45,9773.22,1,3.79,10,2009-06-04 9:14,"205 Campbell Highway Port Wyatt, AK 84887-4000",Lee Ltd,0
Willie George II,0,32,9036.27,0,7.14,11,2010-06-29 7:19,Unit 5118 Box 3795 DPO AA 27599,"Murphy, Davis and Zimmerman",0
Troy Burke,0,50,8193.77,0,5.13,8,2011-09-30 21:43,"2819 Wright Summit Nicholasmouth, CT 05051-3807",Austin LLC,0
Kyle Mcguire,0,30,10183.98,1,5.14,9,2009-02-13 23:12,"1005 Kevin Mews Bennettmouth, VI 93240-6963","Smith, Salazar and Ward",0
Adam Harris,1,44,9815.03,1,4.9,9,2016-05-29 6:00,"40488 Michael Forge Lake Heatherbury, OK 21867","Smith, Oconnor and Brown",0
Roy Marshall,1,43,6098.15,0,3.74,8,2014-02-19 4:42,"55334 William Square Kaylaland, TN 06847-1171","Harrison, Cox and Russell",0
Lisa Lee,0,45,13100.75,1,7.79,10,2010-05-08 1:45,"04983 Johnson Park Elizabethfurt, MT 88532",Clark-Dawson,0
Marc Price,1,40,10638.66,0,4.35,10,2008-07-26 11:52,"9411 Robinson Corners Apt. 595 North Samuelborough, GA 97735",Hayes-Hill,0
James Griffin,1,52,9519.64,0,5.61,8,2015-12-05 19:35,Unit 5498 Box 5539 DPO AP 33602,Walker Ltd,0
Leslie Lopez,0,50,10358.08,0,5.41,8,2014-07-31 11:31,"7364 Jessica Way New Jeremyside, ND 50029",Copeland Inc,0
Richard Jackson,0,46,7638.13,1,4.91,9,2007-03-15 5:45,"8169 Catherine Dam Grantville, MN 89963",Riley Group,0
Kevin Gordon MD,0,42,10807.46,1,6.74,7,2007-10-10 17:28,"66383 Williams Brooks Lake Richardside, NJ 36694","Dougherty, Guzman and Martin",0
Dean Spears,1,37,11945.5,1,5.37,8,2008-03-07 6:37,"25364 Snyder Bridge Cookton, WI 66968",Watkins-Gill,0
Kara Barnett,0,48,13597.5,0,6.45,8,2013-05-02 22:34,"5248 Cameron Ridges Suite 289 East Jeffreyport, MP 00728",Roberson Group,0
Kelly White,0,47,7364.12,1,3.65,9,2012-01-05 20:06,"77842 Jeffrey Common North Johnnytown, ND 76045",Allen LLC,0
Laura Turner,1,42,8934.99,1,6.21,8,2010-10-26 19:01,"46278 Austin Views Apt. 675 Port Paulfurt, KS 08809-6244","Johnson, Myers and Martinez",0
Hannah Mack,1,34,13672.54,0,6.05,6,2016-03-05 13:19,"412 Martin Village Apt. 913 Debbieside, NH 82863","Phillips, Shepherd and Davis",0
Christina Farmer,1,44,9446.84,0,4.59,10,2008-11-26 23:15,"95806 Fuller Crossroad Suite 269 Lake Denise, VA 86649",Gutierrez-Doyle,0
Patricia Deleon,0,36,11082.13,0,4.84,9,2012-04-05 16:54,"6857 Sean Heights New Caitlin, OR 57302",Cannon-Blevins,0
Peggy Rodriguez,0,38,10005.91,1,5.44,9,2009-03-31 19:37,"21549 Williams Ways Suite 186 East Crystalville, NV 65321",Brown LLC,0
Steven Price,1,38,11227.39,1,5.71,9,2011-04-05 7:23,"586 Gregory Gateway Suite 935 Port Deborah, OK 46332",Tran-Morris,0
Linda Mason,0,34,13574.25,0,5.2,9,2010-01-30 19:50,Unit 7583 Box 3011 DPO AP 05481,"Ballard, Underwood and Brown",0
Edward Rhodes,1,46,7876.84,1,6.41,10,2015-02-08 10:45,"56573 Emily Falls Apt. 917 Simpsontown, VA 11466-4489",Walker and Sons,0
Martin Williams MD,1,39,10413.93,0,3.75,11,2009-09-17 13:18,"9373 Carpenter Spur Michellebury, UT 07973",Valdez Group,0
Molly Perez,1,36,11079.61,1,4.12,9,2011-09-16 1:39,"236 Smith Lake Suite 670 West Charles, OK 98173",Allen PLC,0
David Hernandez,1,36,12192.94,1,6.46,9,2015-03-02 20:54,"719 Kenneth Port Suite 911 New Micheal, GU 32134",Lane and Sons,0
Brendan Garcia,0,47,9101.71,0,4.11,6,2013-07-20 0:18,USS Reed FPO AE 89292-3816,"Arnold, Skinner and Strickland",0
Curtis Phillips,1,38,12978.81,0,7.94,7,2011-07-21 16:04,Unit 6530 Box 3626 DPO AA 16636-7105,Sweeney-Hall,0
Frank Mann MD,0,43,8007.18,1,5.45,8,2009-04-13 22:54,"40205 Sellers Ville Apt. 983 Melanieview, DC 06529","Carter, Johnson and Franklin",0
Wayne Clark,1,43,6471.68,0,4.93,9,2008-06-19 1:29,"72663 John Turnpike West Ryan, NY 72119-1924",Brown-Coleman,0
Carol Johnston,1,33,14160.05,1,4.61,7,2015-11-19 9:40,"303 Brittany Landing Suite 749 Meghanmouth, TX 27021-4399",Lewis-Wilson,0
Cameron Brown,0,39,11490.75,0,4.93,8,2014-12-23 2:56,"783 Reyes Extension Suite 224 North Angela, IA 45864",Shaw-Jackson,0
Jacob Gutierrez,1,40,11338.94,0,6.23,7,2007-08-17 9:17,"8489 Christopher Circles Apt. 542 Sarahmouth, AL 61019-4480",Parrish LLC,0
Caitlin Johnston,1,28,11245.38,0,6.72,8,2016-12-09 9:29,"42425 John Estates Lake Jonathanshire, NJ 46554",Yang Ltd,0
Monica Graham,0,40,13987.59,1,5.58,7,2016-02-29 7:42,"3077 George Views Suite 883 Vangmouth, WI 86289",Anderson Group,0
Andrew Gates,0,48,12810.16,0,2.21,10,2015-03-27 4:57,"779 Jeremy Road Port Ryan, CO 89095-3953","Conner, Brown and Johnson",0
